Model_type,Window_size,Movement,Algorithm,Dataset_size,Features,RMSE,R2,RMSE2,R22
LR,20,1,4,4547,41,0.246265404188625,0.520674728523979,0.246320684452379,0.504532041363081
LR,20,10,4,454,33,0.260377757944089,0.435014998265669,0.250933191120515,0.495607302227007
LR,20,10,1,108,1,0.271517671651029,-0.000684728067806,0.266264167223107,0.441804031427149
LR,10,10,4,830,27,0.262640729044664,0.297591319291241,0.250894657403378,0.4162162671799
LR,20,1,2,8088,42,0.240382276236389,0.370920269179679,0.231917471299381,0.398605600676589
LR,20,20,5,2790,35,0.239905315223082,0.369954969213733,0.230808621179178,0.395769947252011
LR,20,20,4,233,15,0.259482754909892,0.376530064332478,0.296504836881618,0.389190879200456
LR,20,10,5,5454,41,0.243662739452716,0.356803008835948,0.240791233691938,0.373077046626081
LR,20,7,5,7857,42,0.246722018882704,0.325905541925966,0.242196439183771,0.352385448042293
LR,20,10,2,799,33,0.248181001444166,0.318481433108295,0.242886456433802,0.341140609122599
LR,20,1,6,11628,42,0.248774752010592,0.32535069987764,0.246160903055098,0.327718954979135
LR,20,10,3,2142,32,0.199311392202651,0.274561137307125,0.203958824210295,0.32768097003756
LR,20,7,4,634,29,0.249237542140907,0.512242081858827,0.289533128736682,0.327436169335343
LR,5,1,3,10989,40,0.309473632164459,0.31658287780903,0.311927862332853,0.323813075759099
LR,5,1,4,10878,37,0.310780055431466,0.317541169343769,0.31181146816022,0.319427998533413
LR,20,1,5,54423,42,0.24909535074985,0.324251169107514,0.249450484270045,0.31413884061425
LR,10,10,3,1329,31,0.252676462226627,0.238143853706262,0.253844864077192,0.305533375631872
LR,20,20,2,409,19,0.247584413505703,0.262987370975141,0.28950383099995,0.302336479039293
LR,10,1,4,8187,42,0.267270353877154,0.333620098502904,0.267081597304551,0.299832074151348
LR,10,5,4,1644,34,0.267012151755565,0.321638181057118,0.271538638141023,0.29778520680855
LR,5,3,3,3635,27,0.313482499695402,0.299447572501571,0.313152493341816,0.297630946395395
LR,5,2,3,5499,37,0.309467807566913,0.314996884994785,0.319898278709322,0.296403870649126
LR,5,2,4,5445,37,0.312271671025292,0.313894362314497,0.309461366289994,0.290078347049131
LR,10,3,3,4464,30,0.261125473720463,0.219112958395615,0.249887225862164,0.283248495357007
LR,5,2,5,7943,26,0.281635941718415,0.251961873956206,0.2775994302764,0.282742411359223
LR,5,3,4,3542,38,0.316818205456226,0.302453968980715,0.316474051372791,0.272457300191098
LR,5,1,2,7984,42,0.282575452942388,0.267769001474882,0.277228535827542,0.27016096204899
LR,20,7,6,1710,42,0.246188838998778,0.322649658754246,0.254675657094563,0.269217649517962
LR,20,1,3,21169,42,0.20097659695979,0.286431367575151,0.20373212250897,0.26692621561434
LR,20,1,1,765,25,0.251350223063266,0.295525173416427,0.259701660970228,0.265095196261537
LR,5,1,5,15863,39,0.281495314033399,0.255628134448558,0.278258404929868,0.261506177292432
LR,20,20,3,1085,32,0.197935221054429,0.220622558191703,0.236176089418642,0.261430988040798
LR,5,5,5,3227,25,0.283552614930147,0.242860211345081,0.269318161288479,0.258865048617202
LR,20,7,3,3056,42,0.203202440268466,0.261027369121124,0.204679424751217,0.256382107556522
LR,5,5,2,1594,23,0.2872595633271,0.252367037893031,0.272408982608207,0.255314949441801
LR,10,3,6,4446,25,0.269705699745643,0.201651375897205,0.252784980692011,0.249604006553536
LR,5,1,1,7155,42,0.281715816740426,0.252010299531584,0.284194228321805,0.248506272064055
LR,10,10,5,2115,22,0.266097529026626,0.215618940440375,0.258547828514795,0.248336133987751
LR,5,1,6,8352,25,0.281723357880773,0.255453916305521,0.272759848407544,0.242932182994871
LR,5,3,5,5243,38,0.28326003720354,0.239686975670016,0.291816109625942,0.24221079964851
LR,10,3,4,2738,33,0.26774066163834,0.328794320100897,0.272093301577223,0.239594546659807
LR,10,1,3,13354,34,0.255913918341846,0.246621574968449,0.268453554371673,0.239307462851317
LR,10,10,2,1051,29,0.264766602050694,0.199696419174209,0.265811488074499,0.238570782398125
LR,10,5,5,4257,41,0.266044442484942,0.218192911864842,0.26507401082947,0.236599582243444
LR,5,2,2,3978,"26,24",0.283115636394025,0.258013472975161,0.283018923674462,0.234345301430863
LR,20,7,2,1172,"28,30",0.245715321684491,0.332173431651991,0.240756688702796,0.232814130884749
LR,5,3,1,2201,24,0.283141687453731,0.250973113244802,0.272373319107698,0.231239003226533
LR,10,1,2,10751,41,0.266278493785712,0.236691167333956,0.268429499665766,0.231154932281503
LR,5,5,6,1706,21,0.281266117158848,0.250690275927624,0.273924997952749,0.229728506207029
LR,5,5,1,1373,27,0.284743569091624,0.242159353934006,0.261813227753914,0.224503566024446
LR,5,2,1,3600,25,0.282471640343568,0.248986569294324,0.292116131201902,0.222441352257892
LR,10,1,6,13617,38,0.266386672712824,0.215153052414498,0.272683504905996,0.218095575755577
LR,10,5,2,2110,31,0.268525731205387,0.221886693279584,0.258913091888631,0.215039239768925
LR,10,1,1,3042,30,0.268028283446341,0.207959368095676,0.264606308805907,0.214811654872778
LR,20,7,1,108,2,0.273453015520594,-0.004700051685248,0.314274666379382,0.209690401373145
LR,20,20,6,585,"32,29",0.240214709865105,0.347929187192575,0.282336143872474,0.207789567030971
LR,10,1,5,22005,42,0.266729859550635,0.216462709387943,0.268654877382612,0.204329777653726
LR,5,2,6,4140,37,0.281873896334192,0.241373890347995,0.290398303661329,0.202521170765143
LR,5,3,2,2666,24,0.283723290773698,0.26276394274133,0.292986318717052,0.200881001236815
LR,5,5,4,2181,39,0.313649689019855,0.307943559403832,0.33329879481752,0.199420126714638
LR,10,3,5,7524,32,0.268800370281884,0.204287730047557,0.266883884938538,0.19908870774516
LR,10,3,2,3517,28,0.26839217317862,0.222787129040666,0.263396697311489,0.199064991939059
LR,10,10,6,1314,31,0.262812424504005,0.232454945915236,0.268505790795239,0.187933221815729
LR,20,10,6,1143,35,0.248978951570743,0.317841948543199,0.268217551037703,0.183721599013791
LR,5,5,3,2203,37,0.314561602938949,0.30379980942613,0.322143765880721,0.182195675158092
LR,5,3,6,2822,22,0.281998761410823,0.248765370234757,0.296058600120095,0.172497694202313
LR,10,3,1,1008,35,0.270700473730856,0.186869635584924,0.258549322609879,0.166419788897688
LR,10,5,3,2655,33,0.260282616343596,0.232672055270112,0.240160457653521,0.157254189255998
LR,10,5,6,2664,27,0.267097477605756,0.209715670338472,0.270766350907875,0.155362567787385
LR,20,20,0,9945,41,0.095903047327239,0.100191980096138,0.117077838124935,0.135731352148758
LR,20,1,0,195121,41,0.098273868687809,0.119332075768374,0.098050649010857,0.120336116353651
LR,20,7,0,28045,41,0.097451479929466,0.112654818881217,0.104933555959974,0.1121496293652
LR,20,10,0,19692,41,0.098386083267826,0.111060581525955,0.094281217861426,0.107709731373938
LR,10,3,0,65836,42,0.114161389479746,0.081644567557827,0.111954227582527,0.098128343245061
LR,10,10,0,19890,42,0.112910931117444,0.076663906413725,0.116207872453457,0.097937949057405
LR,10,1,0,197110,42,0.113940929660745,0.086766494545697,0.114268256234408,0.080806310865815
LR,10,5,0,39582,41,0.114978320716035,0.084696671333614,0.105227111450373,0.066987258597669
LR,10,10,1,270,8,0.270094877894971,0.126726638160016,0.2243606999964,0.064797361949905
LR,5,2,0,99053,36,0.130178446808735,0.060026363907772,0.127832455991959,0.062253329533363
LR,5,1,0,198105,41,0.129717568076197,0.062649282406199,0.131003017454928,0.060479194506189
LR,5,3,0,66035,41,0.129861944636908,0.061263794547467,0.1304199288573,0.057735271903394
LR,10,5,1,576,14,0.272704807106878,0.139148159847185,0.296421416813009,0.046204926729644
LR,5,5,0,39780,41,0.130780964588315,0.059493600443667,0.121727140940222,0.043008826347724
LR,20,20,1,36,7,0.382604142714856,-6.10570723334919,0.345071225738291,-0.238275971360015
,,,,,,,,,
LOR,20,10,1,108,1,7.60275733063586,-2.50659408556403,7.07237655665411,0.778167108913986
LOR,10,10,1,270,"28,7",8.25649675553616,0.302396559594569,5.00966873316374,0.60409500028099
LOR,20,1,4,4547,41,11.2395240123993,0.559260075485347,11.1546620869222,0.555163535321867
LOR,20,1,2,8088,42,9.3645394171433,0.487320189248367,8.70410886005824,0.541802885623488
LOR,20,10,4,454,32,12.0392842606497,0.453302484875559,11.8236160858429,0.539724127768367
LOR,20,10,5,5454,41,8.18553652226989,0.469641491620697,7.78815613183164,0.510211306916634
LOR,20,1,6,11628,42,8.22902614114941,0.46320481364787,7.83057787844407,0.491868949322416
LOR,10,10,4,830,30,10.6494548119946,0.404381752901144,10.4812927074927,0.490600515128347
LOR,20,20,5,2790,42,8.16642767635451,0.468115491105679,7.81776156182087,0.483648102001281
LOR,10,3,1,1008,25,8.80311953115374,0.341796635321578,6.46771046047218,0.477930495792595
LOR,10,10,3,1329,31,9.47067209785327,0.411915457203743,9.27268492179794,0.474578168946881
LOR,20,7,5,7857,42,8.35015018489436,0.446722984580075,8.24138543618644,0.471899328883965
LOR,20,10,3,2142,35,9.04775120342745,0.467102439330115,9.64260493904452,0.461519735634516
LOR,20,10,2,799,33,9.88565932846914,0.419073285903105,9.15215334363378,0.456166145735905
LOR,20,1,5,54423,42,8.29334115908583,0.455854904410908,8.1664001006678,0.45406856792556
